,Rk,Team,Conf,W-L,AdjEM,AdjO ,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
145,146,Duquesne,A10,12-17,+1.01,104.5,103.5,67.5,-.052,+2.77,104.9,102.2,-6.28
146,147,UMKC,MCon,15-14,+0.72,105.7,105.0,65.8,-.069,-4.24,102.0,106.3,-4.53
147,148,Ohio St.,B10,14-16,+0.71,107.9,107.2,62.8,+.056,+4.63,105.1,100.4,-2.79
148,149,Oregon St.,P10,12-16,+0.66,102.8,102.1,67.6,+.003,+3.89,105.7,101.8,-5.14
149,150,Delaware,CAA,16-12,+0.62,99.3,98.6,68.9,+.028,-1.81,101.7,103.5,-6.37
150,151,Arkansas Little Rock,SB,17-12,+0.58,101.0,100.4,65.6,-.052,-4.51,101.3,105.8,-6.93
151,152,Valparaiso 15,MCon,18-13,+0.53,100.1,99.6,69.2,+.068,-1.31,104.7,106.0,+0.85
152,153,Tulsa,WAC,9-20,+0.16,102.2,102.0,67.0,-.099,+5.87,106.6,100.7,+2.74
153,154,TCU,CUSA,12-17,+0.08,102.9,102.8,66.1,-.001,+3.94,104.9,101.0,-0.22
154,155,Drake,MVC,12-16,-0.03,100.9,100.9,68.2,-.012,+2.24,104.2,101.9,-2.76
155,156,Green Bay,Horz,17-11,-0.04,101.7,101.7,63.1,+.105,-0.38,103.9,104.3,-2.36
156,157,Santa Clara,WCC,16-16,-0.13,101.8,102.0,61.4,+.035,+2.02,105.8,103.7,+3.18
157,158,Idaho,BW,14-16,-0.31,99.7,100.0,63.4,-.010,+0.50,104.1,103.6,+5.91
158,159,Akron,MAC,13-15,-0.45,106.3,106.7,64.8,-.019,-0.49,103.4,103.9,-2.33
159,160,Arkansas St.,SB,17-11,-0.47,105.8,106.3,66.0,-.017,-4.23,99.8,104.0,-7.05
160,161,Saint Peter's,MAAC,17-12,-0.51,108.1,108.6,67.8,+.069,-2.35,102.3,104.6,+0.21
161,162,Portland,WCC,11-17,-0.63,105.0,105.6,65.9,+.004,+3.54,105.8,102.3,+5.83
162,163,Bradley,MVC,15-16,-0.69,98.6,99.3,66.8,+.066,+1.25,104.3,103.1,-2.99
163,164,Furman,SC,17-12,-0.76,101.6,102.4,66.6,-.080,-5.34,100.3,105.6,-7.29
164,165,Oakland,MCon,13-17,-0.98,104.3,105.3,69.0,-.079,-0.09,104.6,104.7,+7.61
165,166,Birmingham Southern,BSth,20-7,-1.10,107.5,108.6,63.5,+.034,-11.72,95.5,107.2,-9.51
166,167,New Orleans,SB,17-14,-1.11,102.6,103.7,64.8,+.085,-0.22,103.4,103.7,+2.96
167,168,Mississippi Valley St.,SWAC,22-7,-1.13,99.4,100.5,63.8,+.050,-14.95,93.5,108.4,-3.00
168,169,Wright St.,Horz,14-14,-1.15,104.2,105.3,63.1,+.048,-0.46,103.3,103.7,-0.35
169,170,Weber St.,BSky,15-14,-1.17,105.9,107.0,61.7,-.024,-2.11,102.3,104.5,+1.76
170,171,Holy Cross,Pat,13-15,-1.23,96.8,98.0,63.4,-.141,-7.92,97.4,105.3,-1.34
171,172,Vermont 15,AE,22-9,-1.37,101.0,102.4,63.9,+.113,-8.08,97.4,105.5,-2.50
172,173,Centenary,MCon,16-12,-1.53,102.6,104.1,63.7,+.028,-2.52,102.7,105.2,+1.01
173,174,San Francisco,WCC,17-14,-1.61,100.1,101.7,65.1,+.138,+2.10,105.3,103.2,+1.79
174,175,Bowling Green,MAC,14-17,-1.71,104.7,106.4,65.6,-.025,+0.15,103.4,103.3,-1.64
175,176,Southern Miss,CUSA,13-15,-1.72,100.5,102.2,64.1,+.054,+3.43,104.0,100.6,-3.23
176,177,Illinois St.,MVC,10-19,-1.98,101.4,103.4,61.5,-.061,+3.35,104.8,101.4,+1.49
177,178,Denver,SB,14-13,-2.02,103.9,105.9,64.8,+.021,-1.29,102.7,104.0,-1.30
178,179,Cal St. Northridge,BW,14-16,-2.27,99.7,102.0,68.1,+.001,-0.88,103.3,104.2,-1.94
179,180,Marshall,MAC,12-17,-2.44,101.2,103.6,68.2,+.039,+2.29,105.4,103.1,+4.01
180,181,Liberty 16,BSth,18-15,-2.50,98.3,100.8,67.5,+.000,-5.73,100.5,106.2,+5.71
181,182,Loyola Marymount,WCC,15-14,-2.81,97.4,100.2,66.3,+.074,-0.79,104.7,105.5,-4.28
182,183,La Salle,A10,10-20,-3.02,103.0,106.1,64.1,-.023,+3.36,105.2,101.8,-2.07
183,184,Massachusetts,A10,10-19,-3.13,103.0,106.1,66.5,-.022,+2.04,104.3,102.3,-2.91
184,185,American,Pat,18-13,-3.16,102.7,105.8,63.4,-.006,-7.56,98.2,105.7,-1.27
185,186,Northern Arizona,BSky,15-14,-3.33,102.1,105.4,69.4,+.017,-3.06,102.7,105.8,-0.15
186,187,South Alabama,SB,12-16,-3.39,103.1,106.4,63.0,-.039,-0.35,102.4,102.7,+1.36
187,188,Ohio,MAC,10-20,-3.41,101.2,104.6,64.3,-.058,-0.14,103.7,103.8,-1.49
188,189,Texas A&M,B12,7-21,-3.58,105.6,109.2,66.8,-.131,+4.45,105.2,100.7,-13.03
189,190,Indiana St.,MVC,9-19,-3.69,97.0,100.7,59.9,-.069,+1.72,104.2,102.5,-2.40
190,191,Loyola Chicago,Horz,9-20,-3.94,101.0,104.9,69.8,+.008,+2.92,105.3,102.3,+5.50
191,192,Southeastern Louisiana,Slnd,20-9,-3.96,101.4,105.3,66.2,+.021,-8.86,98.0,106.9,-4.27
192,193,Iona,MAAC,11-18,-3.98,101.6,105.6,69.2,-.051,-1.75,102.3,104.1,+2.89
193,194,Monmouth 15,NEC,21-12,-3.99,98.1,102.1,66.0,+.112,-6.71,100.6,107.3,+2.53
194,195,Yale,Ivy,12-15,-4.07,99.7,103.8,62.8,-.038,-2.41,101.9,104.3,+4.35
195,196,UC Riverside,BW,11-17,-4.12,101.9,106.0,64.8,-.007,-0.20,103.3,103.5,+3.78
196,197,Eastern Kentucky,OVC,14-15,-4.18,102.2,106.4,67.2,-.050,-5.28,101.4,106.7,-6.60
197,198,Northeastern,AE,19-11,-4.26,103.0,107.3,72.9,+.052,-7.86,97.2,105.0,+1.15
198,199,New Mexico St.,SB,13-14,-4.28,98.3,102.6,63.7,-.015,-1.19,103.5,104.7,+0.08
199,200,St. John's,BE,6-21,-4.31,98.9,103.2,65.0,-.017,+7.54,106.8,99.3,+0.34
200,201,Brown,Ivy,14-13,-4.35,101.8,106.2,70.4,+.032,-4.75,100.2,105.0,-0.93
201,202,Morehead St.,OVC,16-13,-4.45,107.1,111.6,66.6,+.082,-2.22,103.9,106.1,+5.12
202,203,Sacramento St.,BSky,13-15,-4.57,98.6,103.2,69.2,-.018,-3.02,102.1,105.2,+0.28
203,204,Maine,AE,20-10,-4.57,99.0,103.5,65.4,+.040,-10.14,96.2,106.3,-10.69
204,205,UT Arlington,Slnd,17-12,-4.64,103.9,108.5,65.4,+.024,-6.83,98.7,105.5,+2.63
205,206,Cal Poly,BW,11-16,-4.69,101.1,105.8,69.9,-.015,-0.63,102.9,103.6,+1.88
206,207,Bucknell,Pat,14-15,-4.69,96.6,101.3,64.5,-.115,-6.88,98.9,105.8,-0.23
207,208,Evansville,MVC,7-22,-4.76,104.7,109.4,67.5,-.062,+4.39,104.2,99.9,+4.16
208,209,UC Irvine,BW,11-17,-4.79,101.4,106.2,61.5,+.034,-0.32,103.4,103.7,+1.88
209,210,Cal St. Fullerton,BW,11-17,-4.85,102.9,107.8,66.5,-.023,-1.40,102.9,104.3,-1.22
210,211,Portland St.,BSky,11-16,-4.90,96.6,101.5,65.3,-.065,-2.15,102.8,105.0,+2.19
211,212,Siena,MAAC,14-16,-5.03,100.7,105.7,67.1,+.034,-2.61,101.9,104.5,+2.24
212,213,Appalachian St.,SC,9-21,-5.05,95.6,100.7,69.9,-.088,+0.46,104.1,103.7,+6.40
213,214,North Texas,SB,13-15,-5.06,101.1,106.2,69.0,+.025,-2.09,102.3,104.4,-3.85
214,215,Texas A&M Corpus Chris,ind,15-11,-5.13,102.4,107.5,67.6,+.033,-4.41,100.3,104.8,-2.39
215,216,Eastern Michigan,MAC,13-15,-5.17,99.2,104.4,68.0,-.031,-0.63,103.4,104.0,-5.10
216,217,South Florida,CUSA,7-20,-5.21,99.7,104.9,63.5,-.044,+4.40,104.7,100.3,+0.47
217,218,Lafayette,Pat,18-10,-5.28,106.6,111.9,68.2,+.074,-6.81,97.8,104.6,+0.83
218,219,South Carolina St.,MEAC,18-11,-5.32,101.0,106.3,65.5,+.019,-11.89,95.6,107.5,+4.45
219,220,Houston,CUSA,9-18,-5.50,93.9,99.4,61.0,+.020,+2.28,104.6,102.3,-2.49
220,221,Southeast Missouri St.,OVC,11-16,-5.66,107.4,113.1,63.5,-.048,-2.94,102.8,105.8,+1.45
221,222,Montana St.,BSky,14-13,-5.69,97.1,102.8,66.0,+.010,-5.54,100.6,106.1,-6.60
222,223,Northern Illinois,MAC,10-20,-5.89,100.6,106.5,64.5,-.069,-0.01,103.8,103.8,+0.80
223,224,Rider,MAAC,17-14,-6.17,100.0,106.1,63.8,+.095,-5.34,100.7,106.0,-6.68
224,225,Tulane,CUSA,11-17,-6.21,97.8,104.0,66.8,+.009,+1.41,103.0,101.6,-12.62
225,226,Fairleigh Dickinson,NEC,17-12,-6.23,100.1,106.3,64.1,+.049,-8.86,99.0,107.8,-2.01
226,227,Penn St.,B10,9-19,-6.35,97.2,103.5,62.8,+.055,+5.91,106.9,101.0,-0.78
227,228,Winthrop,BSth,16-12,-6.36,99.8,106.2,62.8,+.017,-8.63,98.3,106.9,+1.36
228,229,UNC Greensboro,SC,11-17,-6.52,102.2,108.7,67.0,-.036,-3.08,101.4,104.4,+0.08
229,230,Central Connecticut,NEC,14-14,-6.53,101.9,108.4,64.2,-.041,-9.42,98.6,108.1,-5.74
230,231,Cornell,Ivy,11-16,-6.57,100.1,106.7,68.3,-.096,-6.04,99.4,105.4,-4.15
231,232,Baylor,B12,8-21,-6.63,102.0,108.7,61.0,+.007,+4.01,104.9,100.9,-9.50
232,233,William & Mary,CAA,7-21,-6.66,105.4,112.0,67.7,-.094,-0.15,101.9,102.0,-0.50
233,234,Chicago St.,MCon,12-20,-6.66,101.7,108.4,63.2,+.054,+1.55,105.0,103.4,+8.85
234,235,Canisius,MAAC,10-20,-6.68,100.5,107.2,66.4,-.026,-2.28,102.1,104.4,+0.71
235,236,Tennessee Tech,OVC,13-15,-6.76,104.2,111.0,67.7,+.002,-2.62,103.3,105.9,+2.27
236,237,Western Carolina,SC,13-15,-6.88,98.0,104.9,67.9,-.028,-2.48,101.6,104.0,-1.13
